ID,description,floor_level
1,"Сдам офисное помещение 32.6 кв.м., ориентир ( Парк Пушкина ), 3/3 этаж, охрана, ремонт, санузел на этаже, интернет, телефон. Цена 530 р/кв.м",
2,"Предлагаем Вашему вниманию помещение свободного назначения в центре Ленинского района! ХАРАКТЕРИСТИКА МЕСТА: -Дом находится на первой линии относительно дороги. -Ориентир Аврора. -Хорошая пешеходная и автомобильная доступность. ХАРАКТЕРИСТИКА ПОМЕЩЕНИЯ: -На первом этаже большая комната ,есть подвальное помещение,туалет. -Второй этаж:два раздельных помещения,душ,туалет,лоджия. -Отдельная входная группа,установлена сигнализация. -В помещениях сделан ремонт,установлены евроокна. -Замечательно подойдет под мини гостиницу или салон красоты. Готов весь пакет документов,на данный момент помещение свободно от арендаторов.Юридическое сопровождение сделки. Поможем оформить ипотеку. объект в нашей базе 2931139",
3,"Предлагается на продажу офисное помещение, расположенное на первом этаже жилого дома. Здание расположено центре города, удобные подъездные пути со всех районов, собственная, огороженная парковка, в непосредственной близости расположены основные административные и государственные учреждения города. В помещении выполнен качественный ремонт, все помещения кондиционированы, окна оборудованы автоматическими роль ставнями, современное светодиодное освещение, высота потолков 3м., множество окон предоставляют возможность для любого зонирования помещения и качественное естественное освещения, 2 входные группы объект в нашей базе 2227276",
4,"Дополнительная информация: аренда объекта в самом центре северо-запада. Напротив гостиницы Виктория . Первая линия. Отдельно стоящее здание. Первый этаж площадь 510 кв.м, приточновытяжная вентиляция Электричество 50 кВт. Сделан ремонт фасада, выполняется замена витражных окон объект в нашей базе 1037457",
5,Здаем Помещение 95 м - отдельный вход со двора помещение двух уровневое 1-2 этаж 30 метров и 60м соответственно Свет вода оплачивается отдельно Помещение в жилом доме 121 серии Сдаем только на длительный срок в данный момент помещение охраняет Витязь возможно перезаключение договора. Ранее хозяин размещал хостел. сейчас помещение пустое (без мебели ) . объект в нашей базе 2766427,
6,"Предлагается торгово - офисное помещение с 3 входными группами на 1 этаже площадью от 100 м.2 до 280 м.2. Чистовая отделка!!!! Свободная планировка. В непосредственной близости от помещения ДК «Смена », густонаселенный жилой массив. Удобная парковка. Помещение идеально подходит для магазина, развивающего или медицинского центра. В настоящее время в помещение капитальный ремонт со сменой всех коммуникаций. В настоящее время производится полная реконструкция объекта с заменой всех коммуникаций и установкой витражного остекления. объект в нашей базе 397471",
7,"Предлагаем отдельностоящее здание с огороженной территорией. 3 этажа ( 369, 360 и 317 м.2). Земельный участок площадью 1399 м.2 в собственности. Центральное водоотведение и водоснабжение, собственная газовая котельная. Ранее размещалась гостиница для рабочих. Идеально под хостел, гостиницу для рабочих, гостиницу. объект в нашей базе 2934646",
8,"Предлагается торгово - офисное помещение с 3 входными группами на 1 этаже площадью от 100 м.2 до 280 м.2. Чистовая отделка!!! Свободная планировка. В непосредственной близости от помещения ДК «Смена », густонаселенный жилой массив. Удобная парковка. Помещение идеально подходит для магазина, развивающего или медицинского центра. В настоящее время в помещение капитальный ремонт со сменой всех коммуникаций. объект в нашей базе 397474",
9,"Предлагается в аренду торговое помещение, расположенное на первом этаже жилого дома. Выполнен качественный ремонт, свободная планировка, высота потолков 3,6 м., общая площадь от 135 кв.м., Помещение расположено в самом центре города, на прилегающей территории парковка, удобные подъездные пути, близость остановок общественного транспорта. Большой выбор коммерческой недвижимости в Челябинске и области. Предоставим варианты и проведем переговоры специально по Вашему запросу. Проверим возможность подключения к коммуникациям(увеличение мощности эл.энергии и т.д.) объекта. Сможем понизить кадастровую стоимость объекта. С нами Вы обязательно получите 100 положительный результат. Степан - специалист по недвижимости. объект в нашей базе 1053387",
10,"Предлагается Вашему вниманию помещение в элитном поселке Тарасовка, 39 микрорайон. на одной из центральных улиц. Заведен газ и две ветки электричества. Территория благоустроенна брусчаткой. Можно использовать под различные виды деятельности. Пекарню, небольшое пищевое производство, мини гостиницу на втором и третьем этаже. 840кв.м. общая площадь. на первом этаже Большое пространство со свободной планировкой. на втором этаже сделаны индивидуальные помещения с выводами коммуникаций. на третьем монсардном этаже покабинетная(комнатная) система. цокольный этаж с небольшими окнами. Есть своя парковка для автомобилей на территории. Рядом лесной массив. объект в нашей базе 1966819",
11,"Предлагается на продажу помещение на первом этаже жилого дома. Хороший пешеходный и автомобильный трафик обеспечиваются благодаря выгодному расположению объекта на первой линии Новороссийской ул. Свободная планировка и высокие потолки позволяет широко использовать возможности помещения. На данный момент выполнен качественный офисный ремонт, удобные подъездные пути. объект в нашей базе 2718610",
12,"Парикмахерская, расположена на 1 этаже жилого дома. Отдельная входная группа. Четыре рабочих места, маникюрный кабинет, солярий. Возможна продажа готового раскрученного бизнеса. объект в нашей базе 1669103",
13,"Продам торговое помещение в Советском районе. Первый этаж жилого дома, две отдельных входных группы. Торговый зал 50 кв м. Высокие потолки. Пол бетонный. Стены потолок подготовлены под ремонт, проложены новые электро сети, отопление. Подсобные помещения: Административный кабинет с сейфом и стеллажами под документацию. Склад с огнеупорной дверью. Второй зал-холл. Разгрузочно - складские площади 34 кв.м Сан узел. Складская зона разгрузки, парковка. Высокий пешеходный и автомобильный трафик. Рядом расположен универмаг Мечта . Чистая продажа, любые формы оплаты. Помощь в оформлении ипотеки в ведущих банках. объект в нашей базе 591765",
14,"Предлагаем вашему вниманию нежилое отдельно стоящее здание. Первая линия пр. Ленина, 3 этажа + цоколь. 10 метров до остановок любого общественного транспорта (более 30 маршрутов). В непосредственной близости расположены: завод ЧТЗ (Численность работающих - более 13 000 человек), офисные здания, поликлиника, автоцентры и . Высокий пешеходный трафик. Удобные подъездные пути с ул. пр. Ленина и ул. Танкистов. Общая площадь Здания 2440 кв.м., площадь этажа порядка 500 кв.м. свободная планировка. 4 отдельные входные группы, возможно организация дебаркадера Заведенная электрическая мощность до 100КВт Высота потолков 3м. Вместительная парковка перед Зданием. ИНФРАСТРУКТУРА Адрес: г. Челябинск, пр. Ленина 2, к. М Здание расположено на первой линии Проспекта Ленина 20 метров до перекрестка с ул. Танкистов развитая инфраструктура, высокий автомобильный и пешеходный трафик. 10 метров до остановки общественного транспорта (более 30 маршрутов). объект в нашей базе 2809463",
